# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05232e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.052322863567e-05       1.984490079602e+07       1.984490033929e+07       2.644601749517e+07       2.644572050411e+07       0.000000000000e+00       6.302627115306e+06 
       1.324795994356e-05       1.984488120698e+07       1.984488048314e+07       2.643789357904e+07       2.643742298999e+07       0.000000000000e+00       6.302620122199e+06 
       1.667819342738e-05       1.984485146460e+07       1.984485031749e+07       2.642502447436e+07       2.642427892299e+07       0.000000000000e+00       6.302609453512e+06 
       2.099660152855e-05       1.984480532319e+07       1.984480350542e+07       2.640464143687e+07       2.640346053303e+07       0.000000000000e+00       6.302592862573e+06 
       2.643315522561e-05       1.984472949494e+07       1.984472661462e+07       2.637236252195e+07       2.637049269463e+07       0.000000000000e+00       6.302565713315e+06 
       3.327737082742e-05       1.984460941164e+07       1.984460484823e+07       2.632127834250e+07       2.631831932218e+07       0.000000000000e+00       6.302522722300e+06 
       4.189372777233e-05       1.984441985083e+07       1.984441262240e+07       2.624050273094e+07       2.623582419055e+07       0.000000000000e+00       6.302454844681e+06 
       5.274107848738e-05       1.984412013941e+07       1.984410869339e+07       2.611294981427e+07       2.610556288880e+07       0.000000000000e+00       6.302347539570e+06 
       6.639708395319e-05       1.984364547346e+07       1.984362735852e+07       2.591196028867e+07       2.590032298535e+07       0.000000000000e+00       6.302177692695e+06 
       8.358897625770e-05       1.984289505192e+07       1.984286640610e+07       2.559632976765e+07       2.557806090550e+07       0.000000000000e+00       6.301909374976e+06 
       1.052322863567e-04       1.984170996507e+07       1.984166472568e+07       2.510333726136e+07       2.507481792923e+07       0.000000000000e+00       6.301486157396e+06 
       1.324795994356e-04       1.983984241840e+07       1.983977112136e+07       2.433990102647e+07       2.429577458657e+07       0.000000000000e+00       6.300820495141e+06 
       1.667819342738e-04       1.983690812798e+07       1.983679613123e+07       2.317372828969e+07       2.310641593609e+07       0.000000000000e+00       6.299777764915e+06 
       2.099660152855e-04       1.983232118545e+07       1.983214615933e+07       2.143091553061e+07       2.133053890710e+07       0.000000000000e+00       6.298155343091e+06 
       2.643315522561e-04       1.982520503179e+07       1.982493370683e+07       1.891634703321e+07       1.877203134121e+07       0.000000000000e+00       6.295656252791e+06 
       3.327737082742e-04       1.981428617367e+07       1.981387082088e+07       1.548942331013e+07       1.529387320762e+07       0.000000000000e+00       6.291862565857e+06 
       4.189372777233e-04       1.979779931481e+07       1.979717571446e+07       1.123751751374e+07       1.099723831659e+07       0.000000000000e+00       6.286221680941e+06 
       5.274107848738e-04       1.977342353976e+07       1.977251447345e+07       6.734459274558e+06       6.484484927719e+06       0.000000000000e+00       6.278050511481e+06 
       6.639708395319e-04       1.973824986067e+07       1.973698112175e+07       3.124951961132e+06       2.932650225700e+06       0.000000000000e+00       6.266533223699e+06 
       8.358897625770e-04       1.968858310588e+07       1.968691803450e+07       1.403392418280e+06       1.326465176528e+06       0.000000000000e+00       6.250590539161e+06 
       1.052322863567e-03       1.961926864008e+07       1.961725245360e+07       9.641492553814e+05       9.705564917279e+05       0.000000000000e+00       6.228530385904e+06 
       1.324795994356e-03       1.952299013395e+07       1.952076231164e+07       4.067364239094e+05       4.078236627458e+05       0.000000000000e+00       6.197902451681e+06 
       1.667819342738e-03       1.939046318584e+07       1.938817602232e+07       2.243117865211e+05       2.112905599613e+05       0.000000000000e+00       6.155808659604e+06 
       2.099660152855e-03       1.921100226688e+07       1.920865444320e+07       6.318656475862e+04       6.225573738931e+04       0.000000000000e+00       6.098817627925e+06 
       2.643315522561e-03       1.897148361433e+07       1.896886694144e+07       3.420519867662e+04       2.902072440217e+04       0.000000000000e+00       6.022761488823e+06 
       3.327737082742e-03       1.865690212714e+07       1.865383858897e+07       8.896046753410e+03       1.304269614138e+04       0.000000000000e+00       5.922867248823e+06 
       4.189372777233e-03       1.825072114662e+07       1.824704125557e+07      -3.631087566202e+03       3.555540810879e+04       0.000000000000e+00       5.793886729822e+06 
       5.274107848738e-03       1.773531072295e+07       1.773061808787e+07      -1.473512520227e+04      -1.503478557802e+04       0.000000000000e+00       5.630206965663e+06 
       6.639708395319e-03       1.709277271501e+07       1.708654960102e+07      -8.960670278710e+03      -9.142891122548e+03       0.000000000000e+00       5.426145645838e+06 
       8.358897625770e-03       1.630536748155e+07       1.629682057783e+07      -5.392379340925e+03      -5.502051908364e+03       0.000000000000e+00       5.176054178061e+06 
       1.052322863567e-02       1.535514069135e+07       1.534315054641e+07      -3.204014087827e+03      -3.269177437418e+03       0.000000000000e+00       4.874216689402e+06 
       1.324795994356e-02       1.422549246513e+07       1.420856856015e+07      -1.872758453347e+03      -1.910846378131e+03       0.000000000000e+00       4.515345075894e+06 
       1.667819342735e-02       1.290321119945e+07       1.287959500360e+07      -1.071896822112e+03      -1.093692956074e+03       0.000000000000e+00       4.095231942167e+06 
       2.099660136434e-02       1.138841282943e+07       1.135653690595e+07      -5.969300613831e+02      -6.090662250645e+02       0.000000000000e+00       3.613923476065e+06 
       2.643302962105e-02       9.716517300918e+06       9.676154722474e+06      -3.212009987776e+02      -3.277326700469e+02       0.000000000000e+00       3.082730156815e+06 
       3.325991725659e-02       7.997251740200e+06       7.951492794528e+06      -1.669252331840e+02      -1.703198447380e+02       0.000000000000e+00       2.536649647635e+06 
       4.131084427683e-02       6.505159895437e+06       6.461580723387e+06      -8.799341337440e+01      -8.978298468506e+01       0.000000000000e+00       2.063061284856e+06 
       4.811042795111e-02       5.635010746789e+06       5.598699764444e+06      -5.619245911744e+01      -5.733546607652e+01       0.000000000000e+00       1.787170696093e+06 
       5.303957649822e-02       5.171780699208e+06       5.142068296432e+06      -4.245236292520e+01      -4.331561945739e+01       0.000000000000e+00       1.640432115124e+06 
       5.710244131153e-02       4.863049108936e+06       4.838650315015e+06      -3.444838607237e+01      -3.514880636439e+01       0.000000000000e+00       1.542679280996e+06 
       6.072908903941e-02       4.624504851152e+06       4.604264680550e+06      -2.895625646133e+01      -2.954518711892e+01       0.000000000000e+00       1.467152266319e+06 
       6.411105505824e-02       4.421459910959e+06       4.404345363286e+06      -2.484601007274e+01      -2.535129264276e+01       0.000000000000e+00       1.402844625897e+06 
       6.734963984708e-02       4.237016955727e+06       4.222098758272e+06      -2.157409246787e+01      -2.201287138242e+01       0.000000000000e+00       1.344397037042e+06 
       7.050555095338e-02       4.061792523278e+06       4.048241878374e+06      -1.887242697701e+01      -1.925625834874e+01       0.000000000000e+00       1.288835450013e+06 
       7.361864866039e-02       3.890565498925e+06       3.877664682108e+06      -1.658722958859e+01      -1.692445865521e+01       0.000000000000e+00       1.234507756925e+06 
       7.671701597336e-02       3.720998072489e+06       3.708153743670e+06      -1.460869725501e+01      -1.490569580965e+01       0.000000000000e+00       1.180677866252e+06 
       7.982159927792e-02       3.552373158080e+06       3.539131558723e+06      -1.287668134039e+01      -1.313856997383e+01       0.000000000000e+00       1.127124963234e+06 
       8.294878610250e-02       3.385056155067e+06       3.371115459967e+06      -1.136207856622e+01      -1.159315567420e+01       0.000000000000e+00       1.073972495440e+06 
       8.611193210362e-02       3.220604347018e+06       3.205821623384e+06      -1.003358348595e+01      -1.023757083876e+01       0.000000000000e+00       1.021722639499e+06 
       8.932231340541e-02       3.061241156839e+06       3.045630634881e+06      -8.862980935013e+00      -9.043171409298e+00       0.000000000000e+00       9.710889669031e+05 
